N 54'46.410;E 11'30.096
N 54'46.476;E 11'30.207
N 54'26.368;E 11'11.824
N 54'26.345;E 11'11.807
N 54'26.337;E 11'11.818
N 54'26.328;E 11'11.838
N 54'26.321;E 11'11.852
N 54'26.311;E 11'11.858
N 54'26.295;E 11'11.860
N 54'26.272;E 11'11.865
N 54'26.258;E 11'11.865
N 54'26.246;E 11'11.875
N 54'26.246;E 11'11.854
N 54'26.235;E 11'11.849
N 54'26.222;E 11'11.847
N 54'26.210;E 11'11.838
N 54'26.207;E 11'11.881
N 54'26.202;E 11'11.895
N 54'26.198;E 11'11.827
N 54'26.191;E 11'11.815
N 54'26.180;E 11'11.821
N 54'26.168;E 11'11.826
N 54'26.172;E 11'11.811
N 54'26.176;E 11'11.780
N 54'25.373;E 11'11.491
N 54'25.362;E 11'11.488
N 54'25.360;E 11'11.460
N 54'25.353;E 11'11.436
N 54'25.336;E 11'11.479
N 54'25.314;E 11'11.485
N 54'25.302;E 11'11.473
N 54'25.291;E 11'11.464
N 54'25.230;E 11'11.441
N 54'25.230;E 11'11.463
N 54'25.222;E 11'11.523
N 54'25.204;E 11'11.526
N 54'25.195;E 11'11.530
N 54'25.187;E 11'11.555
N 54'25.203;E 11'11.576
N 54'25.238;E 11'11.572
N 54'25.245;E 11'11.540
N 54'25.256;E 11'11.542
N 54'25.279;E 11'11.522
N 54'25.290;E 11'11.520
N 54'25.307;E 11'11.511
N 54'28.702;E 11'00.821
N 54'28.721;E 11'00.721
N 54'18.425;E 10'47.578
N 54'18.807;E 10'47.448
N 54'18.742;E 10'47.522
N 54'18.688;E 10'47.744
N 54'18.716;E 10'47.877
N 54'18.682;E 10'48.015
N 54'18.674;E 10'47.940
N 54'18.676;E 10'47.835
N 54'18.663;E 10'48.001
N 54'18.657;E 10'47.924
N 54'18.636;E 10'47.797
N 54'18.674;E 10'47.652
N 54'18.631;E 10'47.673
N 54'18.625;E 10'47.823
N 54'18.594;E 10'47.831
N 54'18.575;E 10'47.906
N 54'18.605;E 10'47.986
N 54'18.607;E 10'48.062
N 54'18.602;E 10'48.083
N 54'18.607;E 10'48.128
N 54'18.603;E 10'47.698
N 54'18.573;E 10'47.663
N 54'18.563;E 10'47.632
N 54'18.553;E 10'47.601
N 54'18.548;E 10'47.578
N 54'18.519;E 10'47.604
N 54'18.529;E 10'47.694
N 54'18.491;E 10'47.560
N 54'18.448;E 10'47.584
N 54'18.425;E 10'47.578
N 54'17.507;E 10'53.213
N 54'17.513;E 10'53.225
N 54'17.528;E 10'53.280
N 54'17.471;E 10'53.152
N 54'17.452;E 10'53.292
N 54'17.451;E 10'53.322
N 54'17.472;E 10'53.403
N 54'17.465;E 10'53.457
N 54'17.506;E 10'53.449
N 54'17.515;E 10'53.447
N 54'17.540;E 10'53.463
N 54'17.453;E 10'53.498
N 54'17.443;E 10'53.490
